"","HHId","ComunID","Round","Animals.value","TraditionalAssets.value","IndustrialAssets.value","Total.value","Nfields","HHmale","HHAge","route.distance.SB","ComunSize","HHSize"
"1","HH0001",213,3,130,645,3790.27,4565.27,NA,1,42,12,72,4
"2","HH0002",213,3,175,2360,3794.74,6329.74,NA,1,26,12,72,3
"3","HH0003",213,3,0,320,1447.22,1767.22,NA,1,23,12,72,2
"4","HH0004",213,3,4350,2670,4563.175,11583.175,4,1,43,12,72,7
"5","HH0005",213,3,60,2410,677.365,3147.365,2,1,39,12,72,5
"6","HH0006",213,3,60,2410,2155.875,4625.875,1,1,40,12,72,8
"7","HH0007",213,3,110,560,3321.08,3991.08,NA,1,28,12,72,5
"8","HH0008",213,3,75,2560,824.905,3459.905,NA,1,28,12,72,7
"9","HH0009",213,3,470,2830,5570.82,8870.82,3,1,55,12,72,6
"10","HH0010",5,3,167.5,2580,5702.96,8450.46,NA,1,44,118,45,12
"11","HH0010",5,2,52.5,620,3682.775,4355.275,NA,1,37,118,45,12
"12","HH0011",5,2,307.5,570,5595.955,6473.455,NA,1,65,118,45,2
"13","HH0011",5,3,720,2640,4224.17,7584.17,NA,1,72,118,45,2
"14","HH0012",5,3,40,100,8149.155,8289.155,NA,1,71,118,45,2
"15","HH0013",5,2,1612.5,5030,10590.965,17233.465,NA,1,30,118,45,2
"16","HH0014",5,3,442.5,2860,4435.66,7738.16,NA,1,48,118,45,2
"17","HH0014",5,2,1720,1050,8278.365,11048.365,NA,1,41,118,45,2
"18","HH0015",5,3,55,390,381.83,826.83,NA,1,30,118,45,5
"19","HH0016",5,3,920,2870,4490.77,8280.77,NA,1,27,118,45,2
"20","HH0016",5,2,20,2210,764.04,2994.04,NA,1,20,118,45,2
"21","HH0017",5,3,605,2820,4235.72,7660.72,4,1,33,118,45,3
"22","HH0018",5,3,570,920,4522.645,6012.645,NA,1,56,118,45,2
"23","HH0018",5,2,420,5030,8473.085,13923.085,NA,1,49,118,45,2
"24","HH0019",5,2,0,530,4423.72,4953.72,NA,1,25,118,45,2
"25","HH0019",5,3,1097.5,2670,4523.6,8291.1,NA,1,32,118,45,2
"26","HH0020",5,2,20,510,309.11,839.11,NA,1,33,118,45,2
"27","HH0021",5,3,202.5,560,513.345,1275.845,NA,1,22,118,45,1
"28","HH0022",5,3,1270,2630,6275.79,10175.79,NA,1,46,118,45,2
"29","HH0023",5,3,20,50,404.345,474.345,NA,1,17,118,45,2
"30","HH0024",110,2,217.5,2580,803.37,3600.87,3,1,30,101,76,5
"31","HH0025",110,2,3890,680,846.8,5416.8,NA,1,21,101,76,2
"32","HH0026",110,2,487.5,850,1596.975,2934.475,2,1,46,101,76,2
"33","HH0027",110,2,8612.5,1365,4491.435,14468.935,2,1,49,101,76,10
"34","HH0028",110,2,785,1080,5392.385,7257.385,3,1,38,101,76,7
"35","HH0029",110,2,55,820,4114.07,4989.07,2,1,75,101,76,3
"36","HH0030",110,2,585,800,5424.485,6809.485,3,1,54,101,76,5
"37","HH0031",110,2,557.5,930,4317.9,5805.4,2,1,43,101,76,6
"38","HH0032",110,2,1812.5,920,4876.005,7608.505,2,1,38,101,76,6
"39","HH0033",110,2,1427.5,1815,5131.525,8374.025,2,1,73,101,76,4
"40","HH0034",110,2,510,1050,2147.21,3707.21,4,1,51,101,76,8
"41","HH0035",85,2,2347.5,2790,4455.195,9592.695,NA,1,40,136,27,2
"42","HH0036",85,3,752.5,3555,4662.865,8970.365,NA,1,30,136,27,7
"43","HH0037",85,3,360,2640,493.1,3493.1,3,1,63,136,27,6
"44","HH0038",27,3,3445,3070,726.87,7241.87,NA,1,37,85,145,1
"45","HH0038",85,2,3452.5,4920,5157.965,13530.465,NA,1,31,136,27,1
"46","HH0039",85,2,1395,430,961.65,2786.65,NA,1,47,136,27,2
"47","HH0040",85,2,1222.5,2620,723.83,4566.33,NA,1,32,136,27,2
"48","HH0041",85,2,1745,5155,6074.165,12974.165,4,1,49,136,27,4
"49","HH0041",27,3,6062.5,2930,3898.6,12891.1,NA,1,56,85,145,4
