"","HHId","ComunID","ComunSize","Round","Animals.value","TraditionalAssets.value","IndustrialAssets.value","Total.value","Nfields","HHmale","HHAge","route.distance.SB","HHWealthZ","HHWealthAZ","HHWealthTZ","HHWealthIZ","AgeCorWealth","AgeCorWealthA","AgeCorWealthT","AgeCorWealthI","Gini.2","Gini.AgeCor.2","WealthCnt.2","Gini.3","Gini.AgeCor.3","WealthCnt.3","Gini","Gini.AgeCor","MeanWealth","MeanWealth.AgeCor","MeanWealthZ","MedianWealth","MedianWealth.AgeCor","MedianWealthZ","HHCnt","HHSize"
"1","HH0001",213,72,3,130,645,3790.27,4565.27,NA,1,42,12,-0.511,-1.322,-0.681,0.312,5556.44240757802,101.672665161298,785.83737671345,5139.32964943991,NA,NA,NA,0.288732888870041,0.208756061924818,9,0.288732888870041,0.208756061924818,5371.16111111111,8375.89876029236,0.0774444444444444,4565.27,8204.37859663584,0.129,9,4
"2","HH0002",213,72,3,175,2360,3794.74,6329.74,NA,1,26,12,1.109,-0.643,1.347,1.423,13845.105976882,309.237321189321,4438.00757092314,9168.19244254976,NA,NA,NA,0.288732888870041,0.208756061924818,9,0.288732888870041,0.208756061924818,5371.16111111111,8375.89876029236,0.0774444444444444,4565.27,8204.37859663584,0.129,9,3
"3","HH0003",213,72,3,0,320,1447.22,1767.22,NA,1,23,12,-0.279,-2.012,-0.458,0.447,6435.88240701764,5.43960400527038,993.499046488899,5545.00540034357,NA,NA,NA,0.288732888870041,0.208756061924818,9,0.288732888870041,0.208756061924818,5371.16111111111,8375.89876029236,0.0774444444444444,4565.27,8204.37859663584,0.129,9,2
"4","HH0004",213,72,3,4350,2670,4563.175,11583.175,4,1,43,12,0.981,1.298,0.767,0.571,12983.8831892976,4686.62738474188,2899.61733005248,5936.56350553478,NA,NA,NA,0.288732888870041,0.208756061924818,9,0.288732888870041,0.208756061924818,5371.16111111111,8375.89876029236,0.0774444444444444,4565.27,8204.37859663584,0.129,9,7
"5","HH0005",213,72,3,60,2410,677.365,3147.365,2,1,39,12,-0.979,-1.735,0.718,-1.629,4048.70224612614,35.7144319459479,2792.88707533385,1289.43982947611,NA,NA,NA,0.288732888870041,0.208756061924818,9,0.288732888870041,0.208756061924818,5371.16111111111,8375.89876029236,0.0774444444444444,4565.27,8204.37859663584,0.129,9,5
"6","HH0006",213,72,3,60,2410,2155.875,4625.875,1,1,40,12,-0.415,-1.741,0.7,-0.409,5909.75641963121,34.8915657966755,2753.93211815182,3306.23094167619,NA,NA,NA,0.288732888870041,0.208756061924818,9,0.288732888870041,0.208756061924818,5371.16111111111,8375.89876029236,0.0774444444444444,4565.27,8204.37859663584,0.129,9,8
"7","HH0007",213,72,3,110,560,3321.08,3991.08,NA,1,28,12,0.33,-1.109,-0.283,1.042,9195.37178950375,149.953269580133,1181.2204542374,7602.55339373868,NA,NA,NA,0.288732888870041,0.208756061924818,9,0.288732888870041,0.208756061924818,5371.16111111111,8375.89876029236,0.0774444444444444,4565.27,8204.37859663584,0.129,9,5
"8","HH0008",213,72,3,75,2560,824.905,3459.905,NA,1,28,12,0.129,-1.366,1.287,-0.583,8204.37859663584,93.1244628297801,4254.17951944243,2941.53999831625,NA,NA,NA,0.288732888870041,0.208756061924818,9,0.288732888870041,0.208756061924818,5371.16111111111,8375.89876029236,0.0774444444444444,4565.27,8204.37859663584,0.129,9,7
"9","HH0009",213,72,3,470,2830,5570.82,8870.82,3,1,55,12,0.332,-0.431,0.759,0.629,9203.56580995911,418.320872165055,2883.36757979797,6127.28745399294,NA,NA,NA,0.288732888870041,0.208756061924818,9,0.288732888870041,0.208756061924818,5371.16111111111,8375.89876029236,0.0774444444444444,4565.27,8204.37859663584,0.129,9,6
"10","HH0010",5,45,3,167.5,2580,5702.96,8450.46,NA,1,44,118,0.435,-1.167,0.715,0.912,9745.27669169532,135.64026671318,2787.10256324265,7114.41716564504,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,12
